Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date_x.1|Start Date|End Date|prctChangeOPEN|TargetProbability|Date_y.1|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
0|0|2012-01-03|24.28|24.7|24.28|24.5|20822552|USD|0|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|1.0090000000000001|0.6650545623399192|2017-04-27|3|2017-04-27|3|2017-04-27|3
1|1|2012-01-04|24.51|24.75|24.38|24.73|17343862|USD|1|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|1.0070000000000001|0.6468062982544917|2017-04-28|4|2017-04-28|4|2017-04-28|4
2|2|2012-01-05|24.68|25.03|24.49|24.95|22343608|USD|2|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|1.0090000000000001|0.6318535315113891|2017-05-01|4|2017-05-01|4|2017-05-01|4
3|3|2012-01-06|24.9|25.03|24.58|24.68|9613949|USD|3|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|0.998|0.6397713364588637|2017-05-02|2|2017-05-02|2|2017-05-02|2
4|4|2012-01-09|24.86|25.37|24.85|25.21|19711456|USD|4|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|1.0270000000000001|0.6366814653932001|2017-05-03|2|2017-05-03|2|2017-05-03|2
5|5|2012-01-10|25.54|25.7|25.33|25.4|19442594|USD|5|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|0.9940000000000001|0.6257372007134772|2017-05-04|3|2017-05-04|3|2017-05-04|3
6|6|2012-01-11|25.39|25.6|25.21|25.42|11767382|USD|6|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|1.002|0.6494602636054937|2017-05-05|2|2017-05-05|2|2017-05-05|2
7|7|2012-01-12|25.44|25.63|25.31|25.5|11061592|USD|7|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|0.9990000000000001|0.6063954790610807|2017-05-08|3|2017-05-08|3|2017-05-08|3
8|8|2012-01-13|25.42|25.49|25.15|25.38|10061194|USD|8|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|1.0070000000000001|0.6151578985269485|2017-05-09|2|2017-05-09|2|2017-05-09|2
9|9|2012-01-17|25.61|25.85|25.43|25.54|11983804|USD|9|CMCSA|FY|1620000000.0|3028000000.0|4648000000.0|4351000000.0|0.0|-426000000.0|8573000000.0|27559000000.0|26874000000.0|18165000000.0|45039000000.0|3028000000.0|1868000000.0|71751000000.0|149245000000.0|76647000000.0|157818000000.0|5705000000.0|1367000000.0|1435000000.0|790000000.0|3944000000.0|13241000000.0|37942000000.0|0.0|29932000000.0|13034000000.0|80908000000.0|16395000000.0|110544000000.0|32000000.0|13971000000.0|-152000000.0|33423000000.0|47274000000.0|157818000000.0|6056000000.0|39309000000.0|37689000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|2284000000.0|14423000000.0|-288000000.0|84000000.0|896000000.0|-308000000.0|0.0|197000000.0|-4668000000.0|0.0|4139000000.0|-1522000000.0|-6407000000.0|-406000000.0|0.0|81000000.0|-1847000000.0|695000000.0|283000000.0|-491000000.0|-306000000.0|-2659000000.0|-2478000000.0|0.0|-186000000.0|1620000000.0|1806000000.0|4139000000.0|1971000000.0|2168000000.0|2011-12-31|2011-12-31|2012-03-31|CMCSA|FY|15042000000.0|0.0|15042000000.0|1.0|0.0|0.0|0.0|10126000000.0|10126000000.0|12124000000.0|642000000.0|14423000000.0|17341000000.0|1.15283871826|2918000000.0|0.193990160883|-51000000.0|2386000000.0|0.158622523601|801000000.0|1287000000.0|0.0855604307938|0.47|0.47|2746000000.0|2778000000.0|2011-12-31|2011-12-31|2012-03-31|0.997|0.6151578985269485|2017-05-10|2|2017-05-10|2|2017-05-10|2
